id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,zscore
2539,Clean & quiet apt home by the park,2787,John,Brooklyn,Kensington,40.64749,-73.97237,Private room,2.173186268412274,1,9,2018-10-19,0.21,6,365,1.310454386083224
3647,THE VILLAGE OF HARLEM....NEW YORK !,4632,Elisabeth,Manhattan,Harlem,40.80902,-73.9419,Private room,2.1760912590556813,3,0,,,1,365,1.3451750003791467
3831,Cozy Entire Floor of Brownstone,4869,LisaRoxanne,Brooklyn,Clinton Hill,40.68514,-73.95976,Entire home/apt,1.9493900066449128,1,270,2019-07-05,4.64,1,194,-0.772782471672136
5022,Entire Apt: Spacious Studio/Loft by central park,7192,Laura,Manhattan,East Harlem,40.79851,-73.94399,Entire home/apt,1.9030899869919435,10,9,2018-11-19,0.1,1,0,-1.08526800033544
5178,Large Furnished Room Near B'way ,8967,Shunichi,Manhattan,Hell's Kitchen,40.76489,-73.98493,Private room,1.8976270912904414,2,430,2019-06-24,3.47,1,220,-1.1199886146313627
5203,Cozy Clean Guest Room - Family Apt,7490,MaryEllen,Manhattan,Upper West Side,40.80178,-73.96723,Private room,1.8976270912904414,2,118,2017-07-21,0.99,1,0,-1.1199886146313627
5238,Cute & Cozy Lower East Side 1 bdrm,7549,Ben,Manhattan,Chinatown,40.71344,-73.99037,Entire home/apt,2.1760912590556813,1,160,2019-06-09,1.33,4,188,1.3451750003791467
5295,Beautiful 1br on Upper West Side,7702,Lena,Manhattan,Upper West Side,40.80316,-73.96545,Entire home/apt,2.130333768495006,5,53,2019-06-22,0.43,1,6,0.8243657859403067
5441,Central Manhattan/near Broadway,7989,Kate,Manhattan,Hell's Kitchen,40.76076,-73.98867,Private room,1.9294189257142926,2,188,2019-06-23,1.5,1,39,-0.9116649288558266
5803,"Lovely Room 1, Garden, Best Area, Legal rental",9744,Laurie,Brooklyn,South Slope,40.66829,-73.98779,Private room,1.9493900066449128,4,167,2019-06-24,1.34,3,314,-0.772782471672136
6021,Wonderful Guest Bedroom in Manhattan for SINGLES,11528,Claudio,Manhattan,Upper West Side,40.79826,-73.96113,Private room,1.9294189257142926,2,113,2019-07-05,0.91,1,333,-0.9116649288558266
6090,West Village Nest - Superhost,11975,Alina,Manhattan,West Village,40.7353,-74.00525,Entire home/apt,2.0791812460476247,90,27,2018-10-31,0.22,1,0,0.30355657150146675
6848,Only 2 stops to Manhattan studio,15991,Allen & Irina,Brooklyn,Williamsburg,40.70837,-73.95352,Entire home/apt,2.146128035678238,2,148,2019-06-29,1.2,1,46,0.9979688574199201
7322,Chelsea Perfect,18946,Doti,Manhattan,Chelsea,40.74192,-73.99501,Private room,2.146128035678238,1,260,2019-07-01,2.12,1,12,0.9979688574199201
7726,Hip Historic Brownstone Apartment with Backyard,20950,Adam And Charity,Brooklyn,Crown Heights,40.67592,-73.94694,Entire home/apt,1.99563519459755,3,53,2019-06-22,4.44,1,21,-0.42557632871290924
8024,CBG CtyBGd HelpsHaiti rm#1:1-4,22486,Lisel,Brooklyn,Park Slope,40.68069,-73.97706,Private room,2.113943352306837,2,130,2019-07-01,1.09,6,347,0.6507627144606934
8025,CBG Helps Haiti Room#2.5,22486,Lisel,Brooklyn,Park Slope,40.67989,-73.97798,Private room,1.9030899869919435,1,39,2019-01-01,0.37,6,364,-1.08526800033544
8110,CBG Helps Haiti Rm #2,22486,Lisel,Brooklyn,Park Slope,40.68001,-73.97865,Private room,2.041392685158225,2,71,2019-07-02,0.61,6,304,-0.04364957145775991
