location,size,total_sqft,bath,price,bhk,price_per_sqft,zscore
Chikka Tirupathi,4 Bedroom,2600.0,5.0,2.0791812460476247,4,4615,-1.113155326744108
Uttarahalli,3 BHK,1440.0,2.0,1.792391689498254,3,4305,-1.4872599599400644
Lingadheeranahalli,3 BHK,1521.0,3.0,1.9777236052888478,3,6245,0.8539109703830163
Marathahalli,3 BHK,1310.0,3.0,1.8010605298478555,3,4828,-0.856109240064306
Sarjapur,3 Bedroom,2250.0,3.0,2.1702617153949575,3,6577,1.254564964644492
Mysore Road,2 BHK,1175.0,2.0,1.866287339084195,2,6255,0.8659788617764342
other,2 BHK,1100.0,2.0,1.6812412373755872,2,4363,-1.4172661898582404
Binny Pete,3 BHK,1755.0,3.0,2.0863598306747484,3,6951,1.705904102758323
Bellandur,3 BHK,1767.0,3.0,2.012837224705172,3,5829,0.35188668841682996
Thanisandra,1 RK,510.0,1.0,1.4022613824546801,1,4950,-0.7088809650646072
other,3 BHK,1250.0,3.0,1.7481880270062005,3,4480,-1.2760718605552503
Whitefield,3 BHK,1610.0,3.0,1.9084850188786497,3,5031,-0.6111310447779218
Electronic City,3 BHK,1025.0,2.0,1.6720978579357175,3,4585,-1.149359000924362
Hebbal,3 BHK,1760.0,2.0,2.089905111439398,3,6988,1.7505553009139694
Kasturi Nagar,3 BHK,1925.0,3.0,2.0969100130080562,3,6493,1.1531946769397814
Kanakpura Road,2 BHK,700.0,2.0,1.5563025007672873,2,5142,-0.4771774503109827
Chikkalasandra,3 BHK,1290.0,2.0,1.7491176623563223,3,4350,-1.4329544486696837
Murugeshpalya,2 BHK,1296.0,2.0,1.9084850188786497,2,6250,0.8599449160797253
other,1 BHK,600.0,1.0,1.5797835966168101,1,6333,0.9601084146450942
Kanakpura Road,2 BHK,1330.74,2.0,1.9627953698572331,2,6897,1.6407374892338662
Whitefield,2 BHK,1459.0,2.0,1.976899950982938,2,6498,1.1592286226364903
Bhoganhalli,3 BHK,1670.0,3.0,1.99563519459755,3,5928,0.47135881321166756
Whitefield,3 BHK,2010.0,3.0,1.9590413923210936,3,4527,-1.219352771006186
Lakshminarayana Pura,2 BHK,1185.0,2.0,1.8750612633917,2,6329,0.955281258087727
Yelahanka,3 BHK,1600.0,2.0,1.8750612633917,3,4687,-1.026266508711499
