budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,modifies_z_score
54000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",http://www.youmeanddupree.com/,1819,"[{""id"": 1253, ""name"": ""roommate""}, {""id"": 2038, ""name"": ""love of one's life""}, {""id"": 156578, ""name"": ""newlywed""}]",en,"You, Me and Dupree","After standing in as best man for his longtime friend Carl Petersen, Randy Dupree loses his job, becomes a barfly and attaches himself to the newlywed couple almost permanently -- as their houseguest. But the longer Dupree camps out on their couch, the closer he gets to Carl's bride, Molly, leaving the frustrated groom wondering when his pal will be moving out.",18.600367,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Kaplan/Perrone Entertainment"", ""id"": 11844}, {""name"": ""MMCB Film Produktion 2004"", ""id"": 59957}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",7/14/2006,130.431368,108,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Two's company. Dupree's a crowd.,"You, Me and Dupree",5.4,407,1.1207676366892265
10000000,"[{""id"": 27, ""name"": ""Horror""}]",http://www.sinistermovie.com/,283445,"[{""id"": 3358, ""name"": ""haunted house""}, {""id"": 9663, ""name"": ""sequel""}, {""id"": 15016, ""name"": ""twins""}]",en,Sinister 2,A young mother and her twin sons move into a rural house that's marked for death.,26.090495,"[{""name"": ""Alliance Films"", ""id"": 2514}, {""name"": ""Blumhouse Productions"", ""id"": 3172}, {""name"": ""IM Global"", ""id"": 7437}, {""name"": ""Automatik Entertainment"", ""id"": 7625}, {""name"": ""Entertainment One"", ""id"": 8147}, {""name"": ""Tank Caterpillar"", ""id"": 69110}, {""name"": ""Steady Aim"", ""id"": 69111}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",8/19/2015,52.882018,97,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"Be careful, children at play.",Sinister 2,5.4,581,-1.4521933729465195
22000000,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",http://www.sonypictures.com/movies/underworld/site/main.html,277,"[{""id"": 810, ""name"": ""budapest""}, {""id"": 1552, ""name"": ""subway""}, {""id"": 2038, ""name"": ""love of one's life""}, {""id"": 3133, ""name"": ""vampire""}, {""id"": 4197, ""name"": ""bite""}, {""id"": 4198, ""name"": ""descendant""}, {""id"": 6062, ""name"": ""hostility""}, {""id"": 10950, ""name"": ""shootout""}, {""id"": 12564, ""name"": ""werewolf""}, {""id"": 34136, ""name"": ""blunt""}, {""id"": 231407, ""name"": ""fang vamp""}]",en,Underworld,"Vampires and werewolves have waged a nocturnal war against each other for centuries. But all bets are off when a female vampire warrior named Selene, who's famous for her strength and werewolf-hunting prowess, becomes smitten with a peace-loving male werewolf, Michael, who wants to end the war.",81.829237,"[{""name"": ""Lakeshore Entertainment"", ""id"": 126}, {""name"": ""Laurinfilm"", ""id"": 7733}, {""name"": ""Subterranean Productions LLC"", ""id"": 7734}, {""name"": ""Subterranean Productions UK Ltd."", ""id"": 7735}, {""name"": ""Underworld Produktions GmbH"", ""id"": 7736}]","[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""HU"", ""name"": ""Hungary""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",9/19/2003,95.708457,121,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Underworld,Underworld,6.6,2512,-0.031281943920438815
25000000,"[{""id"": 18, ""name"": ""Drama""}]",,866,"[{""id"": 212, ""name"": ""london england""}, {""id"": 388, ""name"": ""scotland""}, {""id"": 970, ""name"": ""parents kids relationship""}, {""id"": 1412, ""name"": ""becoming an adult""}, {""id"": 2486, ""name"": ""fantasy""}, {""id"": 2784, ""name"": ""mother role""}, {""id"": 3321, ""name"": ""childhood memory""}, {""id"": 3836, ""name"": ""success""}, {""id"": 4129, ""name"": ""widow""}, {""id"": 4326, ""name"": ""theatre play""}, {""id"": 4327, ""name"": ""stroke of fate""}, {""id"": 4328, ""name"": ""costume""}, {""id"": 4332, ""name"": ""peter pan""}, {""id"": 4333, ""name"": ""theatre group""}, {""id"": 4414, ""name"": ""adventure""}, {""id"": 4549, ""name"": ""loss of husband""}, {""id"": 5809, ""name"": ""marriage crisis""}, {""id"": 6034, ""name"": ""theatre milieu""}, {""id"": 6054, ""name"": ""friendship""}, {""id"": 6150, ""name"": ""faith""}, {""id"": 9457, ""name"": ""single""}, {""id"": 10707, ""name"": ""mother daughter relationship""}, {""id"": 10818, ""name"": ""author""}, {""id"": 12988, ""name"": ""pirate""}, {""id"": 40895, ""name"": ""illness""}, {""id"": 184989, ""name"": ""spectacle""}, {""id"": 208349, ""name"": ""child""}]",en,Finding Neverland,Finding Neverland is an amusing drama about how the story of Peter Pan and Neverland came to be. During a writing slump play writer J.M. Barrie meets the widowed Sylvia and her three children who soon become an important part of Barrie’s life and the inspiration that lead him to create his masterpiece “Peter Pan.”,34.160448,"[{""name"": ""Miramax Films"", ""id"": 14}, {""name"": ""Film Colony"", ""id"": 560}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",10/17/2004,116.766556,106,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Where will your imagination take you?,Finding Neverland,7.2,1223,0.6673914513310945
32000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",,59,"[{""id"": 642, ""name"": ""robbery""}, {""id"": 848, ""name"": ""double life""}, {""id"": 851, ""name"": ""dual identity""}, {""id"": 1415, ""name"": ""small town""}, {""id"": 1447, ""name"": ""indiana""}, {""id"": 1448, ""name"": ""distrust""}, {""id"": 1721, ""name"": ""fight""}, {""id"": 2801, ""name"": ""self-defense""}, {""id"": 6038, ""name"": ""marriage""}, {""id"": 10235, ""name"": ""family relationships""}, {""id"": 10325, ""name"": ""mistaken identity""}, {""id"": 10738, ""name"": ""diner""}, {""id"": 10909, ""name"": ""lawyer""}, {""id"": 11578, ""name"": ""mobster""}, {""id"": 14819, ""name"": ""violence""}, {""id"": 18083, ""name"": ""attempted robbery""}]",en,A History of Violence,An average family is thrust into the spotlight after the father commits a seemingly self-defense murder at his diner.,34.628738,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""DC Comics"", ""id"": 429}, {""name"": ""BenderSpink"", ""id"": 6363}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""DE"", ""name"": ""Germany""}]",9/23/2005,60.740827,96,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Tom Stall had the perfect life... until he became a hero.,A History of Violence,6.9,832,-1.1914509020015729
55000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 12, ""name"": ""Adventure""}]",,8195,"[{""id"": 90, ""name"": ""paris""}, {""id"": 254, ""name"": ""france""}, {""id"": 2001, ""name"": ""arms deal""}, {""id"": 10038, ""name"": ""audi""}, {""id"": 13068, ""name"": ""impostor""}, {""id"": 14678, ""name"": ""case""}, {""id"": 14819, ""name"": ""violence""}, {""id"": 157168, ""name"": ""ice skating""}, {""id"": 157238, ""name"": ""computer expert""}, {""id"": 159669, ""name"": ""ex kgb""}, {""id"": 159679, ""name"": ""preparation""}, {""id"": 159684, ""name"": ""hit with a car door""}, {""id"": 159685, ""name"": ""cellular phone trace""}, {""id"": 159688, ""name"": ""merry go round""}]",en,Ronin,"A briefcase with undisclosed contents – sought by Irish terrorists and the Russian mob – makes its way into criminals' hands. An Irish liaison assembles a squad of mercenaries, or 'ronin', and gives them the thorny task of recovering the case.",32.657488,"[{""name"": ""United Artists"", ""id"": 60}, {""name"": ""FGM Entertainment"", ""id"": 2347}]","[{""iso_3166_1"": ""FR"", ""name"": ""France""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",9/25/1998,41.610884,122,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}]",Released,Your ally could become your enemy.,Ronin,6.7,658,-1.8261512245130356
40000000,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10402, ""name"": ""Music""}]",http://corpsebridemovie.warnerbros.com/,3933,"[{""id"": 367, ""name"": ""shyness""}, {""id"": 392, ""name"": ""england""}, {""id"": 1332, ""name"": ""cheating""}, {""id"": 2103, ""name"": ""old town""}, {""id"": 2968, ""name"": ""grave""}, {""id"": 4062, ""name"": ""skeleton""}, {""id"": 4344, ""name"": ""musical""}, {""id"": 6038, ""name"": ""marriage""}, {""id"": 7578, ""name"": ""wedding ring""}, {""id"": 10121, ""name"": ""stop motion""}, {""id"": 10336, ""name"": ""animation""}, {""id"": 10594, ""name"": ""money""}, {""id"": 13027, ""name"": ""wedding""}, {""id"": 13092, ""name"": ""corpse""}, {""id"": 18093, ""name"": ""wedding ceremony""}, {""id"": 159947, ""name"": ""parents""}, {""id"": 177895, ""name"": ""dark fantasy""}, {""id"": 181046, ""name"": ""european""}, {""id"": 189093, ""name"": ""ring""}, {""id"": 207592, ""name"": ""piano""}]",en,Corpse Bride,"Set in a 19th-century european village, this stop-motion animation feature follows the story of Victor, a young man whisked away to the underworld and wed to a mysterious corpse bride, while his real bride Victoria waits bereft in the land of the living.",43.571612,"[{""name"": ""Tim Burton Animation Company"", ""id"": 1514}, {""name"": ""Will Vinton Studios"", ""id"": 1515}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Tim Burton Productions"", ""id"": 8601}, {""name"": ""Laika Entertainment"", ""id"": 11537}, {""name"": ""Patalex Productions"", ""id"": 57751}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",9/9/2005,117.195061,77,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,There's been a grave misunderstanding.,Corpse Bride,7.2,1894,0.6816085486689054
75000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}]",,6415,"[{""id"": 1321, ""name"": ""gold""}, {""id"": 2952, ""name"": ""gulf war""}, {""id"": 3570, ""name"": ""three kings""}, {""id"": 5939, ""name"": ""iraq""}, {""id"": 8651, ""name"": ""kuwait""}, {""id"": 10084, ""name"": ""rescue""}, {""id"": 10131, ""name"": ""interracial relationship""}, {""id"": 11088, ""name"": ""treasure map""}, {""id"": 13065, ""name"": ""soldier""}, {""id"": 33564, ""name"": ""u.s. soldier""}, {""id"": 159859, ""name"": ""gold theft""}, {""id"": 168818, ""name"": ""persian gulf""}, {""id"": 168835, ""name"": ""emergency surgery""}, {""id"": 168839, ""name"": ""mine field""}]",en,Three Kings,"A group of American soldiers stationed in Iraq at the end of the Gulf War find a map they believe will take them to a huge cache of stolen Kuwaiti gold hidden near their base, and they embark on a secret mission that's destined to change everything.",34.973086,"[{""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""Atlas Entertainment"", ""id"": 507}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Village-A.M. Partnership"", ""id"": 23689}, {""name"": ""Coast Ridge"", ""id"": 23690}, {""name"": ""Junger Witt Productions"", ""id"": 23691}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",9/27/1999,108.0,114,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ar"", ""name"": ""\u0627\u0644\u0639\u0631\u0628\u064a\u0629""}]",Released,It's good to be King.,Three Kings,6.6,692,0.37653141476356305
4800000,"[{""id"": 27, ""name"": ""Horror""}]",http://www.hostelfilm.com/,1690,"[{""id"": 472, ""name"": ""bathroom""}, {""id"": 572, ""name"": ""sex""}, {""id"": 587, ""name"": ""amsterdam""}, {""id"": 1295, ""name"": ""europe""}, {""id"": 1411, ""name"": ""brothel""}, {""id"": 5689, ""name"": ""slovakia""}, {""id"": 5891, ""name"": ""backpacker""}, {""id"": 8087, ""name"": ""horror""}, {""id"": 10292, ""name"": ""gore""}, {""id"": 11221, ""name"": ""blood""}, {""id"": 13006, ""name"": ""torture""}, {""id"": 155955, ""name"": ""business card""}, {""id"": 156149, ""name"": ""doberman""}, {""id"": 157958, ""name"": ""hostel""}, {""id"": 157959, ""name"": ""surgery""}, {""id"": 198438, ""name"": ""elite club""}, {""id"": 198441, ""name"": ""fingers""}]",en,Hostel,"Three backpackers head to a Slovakian city that promises to meet their hedonistic expectations, with no idea of the hell that awaits them.",38.83192,"[{""name"": ""International Production Company"", ""id"": 1507}, {""name"": ""Raw Nerve"", ""id"": 1631}, {""name"": ""Lionsgate"", ""id"": 1632}, {""name"": ""Next Entertainment"", ""id"": 1633}, {""name"": ""Screen Gems"", ""id"": 3287}, {""name"": ""Hostel LLC"", ""id"": 17793}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1/6/2005,80.578934,94,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Welcome To Your Worst Nightmare,Hostel,5.7,887,-0.5332548524411063
25000000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",https://www.uphe.com/movies/legend-2015,276907,"[{""id"": 5565, ""name"": ""biography""}, {""id"": 9672, ""name"": ""based on true story""}, {""id"": 13142, ""name"": ""gangster""}, {""id"": 15016, ""name"": ""twins""}]",en,Legend,"Suave, charming and volatile, Reggie Kray and his unstable twin brother Ronnie start to leave their mark on the London underworld in the 1960s. Using violence to get what they want, the siblings orchestrate robberies and murders while running nightclubs and protection rackets. With police Detective Leonard ""Nipper"" Read hot on their heels, the brothers continue their rapid rise to power and achieve tabloid notoriety.",32.854557,"[{""name"": ""Working Title Films"", ""id"": 10163}, {""name"": ""Cross Creek Pictures"", ""id"": 10246}, {""name"": ""Anton Capital Entertainment (ACE)"", ""id"": 20664}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""FR"", ""name"": ""France""}]",9/9/2015,42.972994,131,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"Love, fight, live, rule like a legend.",Legend,6.7,973,-1.7809586352671558
