location,size,total_sqft,bath,price,bhk,price_per_sqft,zscore
Electronic City Phase II,2 BHK,1056.0,2.0,39.07,2,3699,-0.7992163968710423
Chikka Tirupathi,4 Bedroom,2600.0,5.0,120.0,4,4615,-0.5376315251576584
Uttarahalli,3 BHK,1440.0,2.0,62.0,3,4305,-0.6261591564143713
Lingadheeranahalli,3 BHK,1521.0,3.0,95.0,3,6245,-0.07214752854978107
Kothanur,2 BHK,1200.0,2.0,51.0,2,4250,-0.6418656716373365
Whitefield,2 BHK,1170.0,2.0,38.0,2,3247,-0.9282953947034107
Old Airport Road,4 BHK,2732.0,4.0,204.0,4,7467,0.27682268240409996
Marathahalli,3 BHK,1310.0,3.0,63.25,3,4828,-0.4768044752941751
Whitefield,3 BHK,1800.0,2.0,70.0,3,3888,-0.7452430991048528
Whitefield,4 Bedroom,2785.0,5.0,295.0,4,10592,1.1692383200725764
7th Phase JP Nagar,2 BHK,1000.0,2.0,38.0,2,3800,-0.7703735234615972
Gottigere,2 BHK,1100.0,2.0,40.0,2,3636,-0.8172074961264387
Sarjapur,3 Bedroom,2250.0,3.0,148.0,3,6577,0.022662708796117873
Mysore Road,2 BHK,1175.0,2.0,73.5,2,6255,-0.06929179850924194
Bisuvanahalli,3 BHK,1180.0,3.0,48.0,3,4067,-0.6941255313792025
Raja Rajeshwari Nagar,3 BHK,1540.0,3.0,60.0,3,3896,-0.7429585150724215
other,3 BHK,2770.0,4.0,290.0,3,10469,1.1341128405739453
other,2 BHK,1100.0,2.0,48.0,2,4363,-0.6095959221792444
Binny Pete,3 BHK,1755.0,3.0,122.0,3,6951,0.12946701231228114
Bellandur,3 BHK,1767.0,3.0,103.0,3,5829,-0.19094589823620867
Thanisandra,1 RK,510.0,1.0,25.25,1,4950,-0.4419645687995977
other,3 BHK,1250.0,3.0,56.0,3,4480,-0.5761838807049366
Electronic City,2 BHK,660.0,1.0,23.1,2,3500,-0.8560454246777709
Whitefield,3 BHK,1610.0,3.0,81.0,3,5031,-0.41883315547123084
Ramagondanahalli,2 BHK,1151.0,2.0,48.77,2,4237,-0.6455781206900374
Electronic City,3 BHK,1025.0,2.0,47.0,3,4585,-0.5461987152792758
Yelahanka,4 BHK,2475.0,4.0,186.0,4,7515,0.2905301865986878
Bisuvanahalli,3 BHK,1075.0,2.0,35.0,3,3255,-0.9260108106709795
Hebbal,3 BHK,1760.0,2.0,123.0,3,6988,0.1400332134622759
Raja Rajeshwari Nagar,3 BHK,1693.0,3.0,57.39,3,3389,-0.8877440281277551
Kasturi Nagar,3 BHK,1925.0,3.0,125.0,3,6493,-0.0013254235444107765
Kanakpura Road,2 BHK,700.0,2.0,36.0,2,5142,-0.3871345520212465
Electronics City Phase 1,2 BHK,1070.0,2.0,45.5,2,4252,-0.6412945256292286
Kundalahalli,3 BHK,1724.0,3.0,125.0,3,7250,0.21485334052440097
Chikkalasandra,3 BHK,1290.0,2.0,56.12,3,4350,-0.6133083712319453
Uttarahalli,2 BHK,1143.0,2.0,45.0,2,3937,-0.7312500219062111
Murugeshpalya,2 BHK,1296.0,2.0,81.0,2,6250,-0.0707196635295115
Sarjapur  Road,3 BHK,1254.0,3.0,38.0,3,3030,-0.9902647365831098
other,1 BHK,600.0,1.0,38.0,1,6333,-0.04701710419303678
Yelahanka,1 Bedroom,660.0,1.0,48.0,1,7272,0.22113594661358704
Kanakpura Road,2 BHK,1330.74,2.0,91.79,2,6897,0.11404607009336987
Doddathoguru,2 BHK,970.0,2.0,33.0,2,3402,-0.8840315790750543
Whitefield,2 BHK,1459.0,2.0,94.82,2,6498,0.000102441475858786
other,2 BHK,869.0,2.0,36.0,2,4142,-0.6727075560751591
other,2 BHK,1270.0,2.0,50.0,2,3937,-0.7312500219062111
Bhoganhalli,3 BHK,1670.0,3.0,99.0,3,5928,-0.16267417083487135
Whitefield,3 BHK,2010.0,3.0,91.0,3,4527,-0.5627619495144027
Lakshminarayana Pura,2 BHK,1185.0,2.0,75.0,2,6329,-0.04815939620925243
Yelahanka,3 BHK,1600.0,2.0,75.0,3,4687,-0.5170702688657768
Begur Road,2 BHK,1200.0,2.0,44.0,2,3666,-0.8086403060048214
other,2 BHK,1500.0,2.0,185.0,2,12333,1.666420920130438
Murugeshpalya,6 Bedroom,1407.0,4.0,150.0,6,10660,1.1886572843482426
other,2 BHK,840.0,2.0,45.0,2,5357,-0.32573635614965535
other,3 Bedroom,4395.0,3.0,240.0,3,5460,-0.2963223367321024
other,2 BHK,845.0,2.0,55.0,2,6508,0.002958171516397911
Whitefield,4 Bedroom,5700.0,5.0,650.0,4,11403,1.4008380263602995
Varthur,2 BHK,1160.0,2.0,44.0,2,3793,-0.7723725344899744
Bommanahalli,8 Bedroom,3000.0,8.0,140.0,8,4666,-0.5230673019509089
Doddathoguru,2 BHK,1100.0,2.0,62.0,2,5636,-0.24606148801861377
Gunjur,2 BHK,1140.0,2.0,43.0,2,3771,-0.7786551405791605
Marathahalli,2 BHK,1220.0,2.0,57.0,2,4672,-0.5213538639265854
Devarachikkanahalli,8 Bedroom,1350.0,7.0,85.0,8,6296,-0.057583305343031535
Kanakpura Road,2 BHK,1005.0,2.0,36.68,2,3649,-0.8134950470737379
Begur Road,2 BHK,1358.0,2.0,80.58,2,5933,-0.16124630581460178
Hegde Nagar,3 BHK,1569.0,3.0,101.0,3,6437,-0.017317511771429876
Haralur Road,2 BHK,1240.0,2.0,70.0,2,5645,-0.24349133098212858
Hennur Road,3 BHK,2089.0,3.0,140.0,3,6701,0.05807376129880302
Kothannur,2 BHK,1206.0,2.0,48.23,2,3999,-0.7135444956548685
Kalena Agrahara,2 BHK,1150.0,2.0,40.0,2,3478,-0.862328030766957
other,3 BHK,2511.0,3.0,205.0,3,8164,0.475867066229677
Kaval Byrasandra,2 BHK,460.0,1.0,22.0,2,4782,-0.48994083348065504
ISRO Layout,6 Bedroom,4400.0,6.0,250.0,6,5681,-0.23321070283618772
other,3 BHK,1660.0,2.0,105.0,3,6325,-0.04930168822546808
Yelahanka,2 BHK,1326.0,2.0,78.0,2,5882,-0.1758105290213513
Garudachar Palya,3 BHK,1325.0,2.0,60.8,3,4588,-0.5453419962671141
EPIP Zone,3 BHK,1499.0,5.0,102.0,3,6804,0.087487780716356
Hegde Nagar,6 Bedroom,3000.0,7.0,210.0,6,7000,0.14346008951092284
Kanakpura Road,3 BHK,1665.0,3.0,88.0,3,5285,-0.34629761244153706
Dasanapura,2 BHK,708.0,2.0,37.0,2,5225,-0.36343199268477183
Kasavanhalli,2 BHK,1060.0,2.0,58.06,2,5477,-0.29146759566318586
Sanjay nagar,2 BHK,1000.0,2.0,70.0,2,7000,0.14346008951092284
Electronic City,2 BHK,1000.0,2.0,28.88,2,2888,-1.0308161031587653
other,3 BHK,1450.0,2.0,70.0,3,4827,-0.477090048298229
ISRO Layout,4 Bedroom,1200.0,4.0,155.0,4,12916,1.8329099814938692
Thanisandra,2 BHK,1296.0,2.0,80.0,2,6172,-0.09299435784571669
Domlur,3 BHK,1540.0,3.0,90.0,3,5844,-0.18666230317539997
Kengeri,4 Bedroom,2894.0,4.0,245.0,4,8465,0.5618245404499046
Sarjapura - Attibele Road,3 BHK,1330.0,2.0,48.0,3,3609,-0.8249179672358944
other,2 BHK,1200.0,2.0,65.0,2,5416,-0.30888754891047454
other,3 Bedroom,1200.0,3.0,90.0,3,7500,0.2862465915378791
Yeshwanthpur,3 BHK,2502.0,3.0,138.0,3,5515,-0.28061582150913716
Chandapura,2 BHK,650.0,1.0,17.0,2,2615,-1.1087775332654835
Kothanur,3 Bedroom,2400.0,2.0,150.0,3,6250,-0.0707196635295115
other,2 BHK,1007.0,2.0,43.0,2,4270,-0.6361542115562583
other,2 BHK,1200.0,2.0,50.0,2,4166,-0.6658538039778651
other,2 BHK,966.0,2.0,49.9,2,5165,-0.38056637292800655
Nagarbhavi,3 BHK,1630.0,2.0,98.0,3,6012,-0.1386860384943427
other,2 BHK,782.0,2.0,55.68,2,7120,0.17772884999739236
Devanahalli,2 BHK,1260.0,2.0,66.78,2,5300,-0.3420140173807284
other,3 BHK,1800.0,3.0,120.0,3,6666,0.04807870615691608
other,3 BHK,1413.0,2.0,75.0,3,5307,-0.340015006352351
Whitefield,2 BHK,1116.0,2.0,51.91,2,4651,-0.5273508970117176
Electronic City,3 BHK,1530.0,2.0,45.9,3,3000,-0.9988319267047271
Ramamurthy Nagar,4 Bedroom,3700.0,4.0,225.0,4,6081,-0.11898150121462273
Sarjapur  Road,3 Bedroom,2497.0,3.0,140.0,3,5606,-0.25462867814023116
Kengeri,3 BHK,1540.0,2.0,64.0,3,4155,-0.6689951070224581
Thanisandra,3 BHK,1436.0,3.0,74.75,3,5205,-0.3691434527658501
Malleshwaram,2 BHK,1100.0,2.0,75.0,2,6818,0.09148580277311079
Hennur Road,2 Bedroom,276.0,3.0,23.0,2,8333,0.5241289039147882
Thanisandra,3 BHK,1427.0,3.0,120.0,3,8409,0.5458324522228856
Akshaya Nagar,3 BHK,2061.0,3.0,200.0,3,9704,0.9156494924727022
Hebbal,4 BHK,5611.5,4.0,477.0,4,8500,0.5718195955917916
Shampura,4 BHK,2650.0,4.0,150.0,4,5660,-0.2392077359213199
Devanahalli,3 BHK,1282.0,2.0,68.52,3,5344,-0.3294488052023562
Kadugodi,2 BHK,1050.0,2.0,34.0,2,3238,-0.9308655517398959
LB Shastri Nagar,3 BHK,1600.0,3.0,65.0,3,4062,-0.695553396399472
other,2 BHK,945.0,2.0,54.0,2,5714,-0.22378679370240862
Hormavu,2 BHK,1500.0,2.0,78.0,2,5200,-0.3705713177861196
Vishwapriya Layout,7 Bedroom,950.0,7.0,115.0,7,12105,1.601310275206146
other,3 BHK,1870.0,3.0,110.0,3,5882,-0.1758105290213513
Sarjapur,3 Bedroom,1600.0,3.0,75.0,3,4687,-0.5170702688657768
Kudlu Gate,3 BHK,1535.0,3.0,83.0,3,5407,-0.31145770594695976
Kanakpura Road,2 BHK,950.0,2.0,57.0,2,6000,-0.14211291454298963
Devanahalli,2 BHK,1360.0,2.0,65.0,2,4779,-0.49079755249281676
8th Phase JP Nagar,2 BHK,1073.5,2.0,54.005,2,5030,-0.41911872847528475
Bommasandra Industrial Area,3 BHK,1280.0,3.0,50.4,3,3937,-0.7312500219062111
other,3 BHK,1260.0,2.0,85.05,3,6750,0.07206683849744473
Hennur Road,8 Bedroom,5000.0,8.0,250.0,8,5000,-0.42768591859690214
Yelahanka,5 BHK,3050.0,5.0,213.0,5,6983,0.13860534844200634
Kasavanhalli,3 BHK,1563.05,3.0,105.0,3,6717,0.06264292936366563
ISRO Layout,2 BHK,1000.0,2.0,60.0,2,6000,-0.14211291454298963
Anandapura,2 BHK,1167.0,2.0,43.76,2,3749,-0.7849377466683466
Vishveshwarya Layout,7 BHK,4000.0,7.0,225.0,7,5625,-0.2492027910632068
Kothanur,3 BHK,1828.0,3.0,110.0,3,6017,-0.13725817347407313
Kengeri Satellite Town,2 BHK,890.0,2.0,35.0,2,3932,-0.7326778869264806
other,3 BHK,1612.0,3.0,46.74,3,2899,-1.0276748001141722
Mysore Road,3 BHK,1710.0,4.0,91.31,3,5339,-0.3308766702226258
Kannamangala,2 BHK,957.0,2.0,58.0,2,6060,-0.12497853429975489
Devarachikkanahalli,3 BHK,1250.0,2.0,44.0,3,3520,-0.8503339645966926
other,3 BHK,2795.0,4.0,235.0,3,8407,0.5452613062147778
Hulimavu,2 BHK,1125.0,2.0,50.0,2,4444,-0.5864645088508774
Electronic City Phase II,2 BHK,1020.0,2.0,30.6,2,3000,-0.9988319267047271
Kalena Agrahara,2 BHK,1200.0,2.0,50.0,2,4166,-0.6658538039778651
Thanisandra,3 BHK,1735.0,3.0,135.0,3,7780,0.3662070326729746
Thanisandra,3 BHK,2050.0,3.0,145.0,3,7073,0.16430691880685847
other,3 BHK,1350.0,2.0,48.0,3,3555,-0.8403389094548057
Hosa Road,2 BHK,1063.0,2.0,32.0,2,3010,-0.995976196664188
other,3 BHK,1904.0,3.0,150.0,3,7878,0.394193187070258
Whitefield,4 Bedroom,4200.0,4.0,420.0,4,10000,1.0001791016726602
other,3 BHK,2000.0,3.0,175.0,3,8750,0.6432128466052697
Sarjapur,2 BHK,1242.5,2.0,43.49,2,3500,-0.8560454246777709
other,3 BHK,1425.0,2.0,75.0,3,5263,-0.35258021853072313
Electronic City,3 BHK,1500.0,2.0,64.5,3,4300,-0.6275870214346408
Electronic City,2 BHK,1060.0,2.0,60.0,2,5660,-0.2392077359213199
other,3 BHK,1470.0,2.0,70.0,3,4761,-0.4959378665657872
other,6 BHK,1300.0,6.0,99.0,6,7615,0.319087487004079
Electronic City,2 BHK,1152.0,2.0,64.5,2,5598,-0.25691326217266247
Electronic City,3 BHK,1350.0,2.0,56.0,3,4148,-0.6709941180508355
CV Raman Nagar,3 BHK,1550.0,3.0,65.0,3,4193,-0.6581433328684095
other,3 Bedroom,1500.0,3.0,100.0,3,6666,0.04807870615691608
Nagavara,1 Bedroom,400.0,1.0,14.0,1,3500,-0.8560454246777709
Malleshwaram,1 BHK,705.0,1.0,67.0,1,9503,0.8582493186578658
Electronic City,2 BHK,770.0,1.0,36.0,2,4675,-0.5204971449144237
Hulimavu,2 BHK,1242.0,2.0,51.0,2,4106,-0.6829881842210999
Hebbal Kempapura,3 BHK,1700.0,3.0,155.0,3,9117,0.7480181390930556
Thanisandra,3 BHK,2144.0,3.0,145.0,3,6763,0.0757792875501456
Vijayanagar,3 BHK,1704.0,3.0,110.0,3,6455,-0.01217719769845945
Electronic City,2 BHK,1070.0,2.0,52.0,2,4859,-0.4679517121685038
other,2 BHK,1340.0,2.0,55.7,2,4156,-0.6687095340184043
Electronic City,2 BHK,1025.0,2.0,46.0,2,4487,-0.5741848696765592
KR Puram,2 BHK,1277.5,2.0,56.8,2,4446,-0.5858933628427696
Marathahalli,2 BHK,1200.0,2.0,52.0,2,4333,-0.6181631123008617
Kanakpura Road,4 Bedroom,2250.0,4.0,110.0,4,4888,-0.4596700950509403
Pattandur Agrahara,3 BHK,1550.0,2.0,80.0,3,5161,-0.38170866494422223
Marathahalli,2 BHK,1200.0,2.0,60.0,2,5000,-0.42768591859690214
Yelahanka,2 BHK,1327.0,2.0,98.0,2,7385,0.2534056960716792
Kothanur,2 BHK,1186.0,2.0,58.0,2,4890,-0.4590989490428325
other,3 Bedroom,1783.0,3.0,115.0,3,6449,-0.013890635722782926
HSR Layout,3 BHK,1400.0,3.0,56.0,3,4000,-0.7132589226508146
Nagasandra,2 BHK,980.0,2.0,48.0,2,4897,-0.4570999380144551
EPIP Zone,2 BHK,1285.0,2.0,82.0,2,6381,-0.03330959999844898
other,3 BHK,912.0,2.0,70.0,3,7675,0.3362218672473138
Whitefield,2 BHK,1225.0,2.0,47.6,2,3885,-0.7460998181170145
Whitefield,2 BHK,1075.0,2.0,53.0,2,4930,-0.447676028880676
Kadugodi,3 BHK,1260.0,2.0,54.0,3,4285,-0.6318706164954495
Yelahanka,3 BHK,1282.0,2.0,48.7,3,3798,-0.770944669469705
Kogilu,3 BHK,1909.0,3.0,88.0,3,4609,-0.5393449631819819
Panathur,2 BHK,1359.0,2.0,87.0,2,6401,-0.027598139917370725
other,2 BHK,1207.0,2.0,43.5,2,3603,-0.8266314052602178
Padmanabhanagar,4 Bedroom,1736.0,6.0,190.0,4,10944,1.2697600174995538
Kammasandra,3 BHK,1595.0,3.0,65.0,3,4075,-0.6918409473467712
other,3 BHK,1798.0,3.0,89.0,3,4949,-0.4422501418036517
Electronics City Phase 1,3 BHK,1475.0,3.0,78.29,3,5307,-0.340015006352351
other,3 BHK,1580.0,3.0,100.0,3,6329,-0.04815939620925243
Dasarahalli,2 BHK,1295.0,2.0,65.0,2,5019,-0.4222600315198778
Magadi Road,6 Bedroom,3600.0,6.0,141.0,6,3916,-0.7372470549913432
Electronic City,1 BHK,589.0,1.0,27.0,1,4584,-0.5464842882833297
other,3 BHK,1415.0,3.0,78.0,3,5512,-0.28147254052129894
Sarjapur  Road,3 BHK,1787.0,3.0,98.29,3,5500,-0.2848994165699459
Sarjapur  Road,3 BHK,1787.0,3.0,125.0,3,6994,0.14174665148659937
Koramangala,3 BHK,1475.0,2.0,90.0,3,6101,-0.11327004113354447
other,4 BHK,2000.0,4.0,75.5,4,3775,-0.7775128485629449
Sarjapur  Road,2 BHK,984.0,2.0,44.28,2,4500,-0.5704724206238584
other,3 BHK,2405.0,4.0,260.0,3,10810,1.2314932349563295
7th Phase JP Nagar,2 BHK,1080.0,2.0,72.0,2,6666,0.04807870615691608
other,2 Bedroom,1500.0,2.0,115.0,2,7666,0.33365171021082857
Hebbal,3 BHK,1900.0,3.0,119.0,3,6263,-0.06700721447681064
Dommasandra,2 BHK,805.0,2.0,22.14,2,2750,-1.0702251777182052
Budigere,2 BHK,1153.0,2.0,56.4,2,4891,-0.4588133760387786
other,2 BHK,1148.0,2.0,60.0,2,5226,-0.3631464196807179
